Date,Forecast,Lower_CI,Upper_CI
2025-07-31,319.564,166.92365,472.20435
2025-08-01,321.02783,168.38748,473.66818
2025-08-04,322.5229,169.88254,475.16324
2025-08-05,323.97574,171.33539,476.6161
2025-08-06,325.356,172.71564,477.99634
2025-08-07,326.65005,174.0097,479.2904
2025-08-08,327.85394,175.2136,480.4943
2025-08-11,328.97006,176.32971,481.6104
2025-08-12,330.00507,177.36472,482.64542
2025-08-13,330.96835,178.328,483.6087
2025-08-14,331.87015,179.2298,484.5105
2025-08-15,332.72058,180.08023,485.36093
2025-08-18,333.5288,180.88846,486.16916
2025-08-19,334.3028,181.66245,486.94315
2025-08-20,335.04874,182.40839,487.6891
2025-08-21,335.77164,183.13129,488.412
2025-08-22,336.47476,183.83441,489.1151
2025-08-25,337.16022,184.51987,489.80057
2025-08-26,337.82922,185.18887,490.46957
2025-08-27,338.48236,185.84201,491.1227
2025-08-28,339.1196,186.47925,491.75995
2025-08-29,339.74063,187.10028,492.38098
2025-09-01,340.345,187.70465,492.98535
2025-09-02,340.93237,188.29202,493.57272
2025-09-03,341.5024,188.86206,494.14276
2025-09-04,342.0548,189.41446,494.69516
2025-09-05,342.5896,189.94925,495.22995
2025-09-08,343.10675,190.4664,495.7471
2025-09-09,343.6066,190.96625,496.24695
2025-09-10,344.08917,191.44882,496.72952
2025-09-11,344.55508,191.91473,497.19543
2025-09-12,345.0047,192.36435,497.64505
2025-09-15,345.43845,192.7981,498.0788
2025-09-16,345.8569,193.21655,498.49725
2025-09-17,346.26053,193.62018,498.90088
2025-09-18,346.65002,194.00967,499.29037
2025-09-19,347.02557,194.38522,499.66592
2025-09-22,347.38785,194.7475,500.0282
2025-09-23,347.7372,195.09686,500.37756
2025-09-24,348.07413,195.43378,500.71448
2025-09-25,348.3991,195.75876,501.03946
2025-09-26,348.7124,196.07205,501.35275
2025-09-29,349.0146,196.37424,501.65494
2025-09-30,349.30582,196.66547,501.94617
2025-10-01,349.58652,196.94617,502.22687
2025-10-02,349.85712,197.21677,502.49747
2025-10-03,350.1178,197.47745,502.75815
2025-10-06,350.36914,197.72879,503.0095
2025-10-07,350.61105,197.9707,503.2514
2025-10-08,350.8444,198.20404,503.48474
2025-10-09,351.0689,198.42856,503.70926
2025-10-10,351.2852,198.64484,503.92554
2025-10-13,351.49344,198.85309,504.1338
2025-10-14,351.694,199.05365,504.33435
2025-10-15,351.8873,199.24695,504.52765
2025-10-16,352.0732,199.43286,504.71356
2025-10-17,352.25223,199.61188,504.89258
2025-10-20,352.42462,199.78427,505.06497
2025-10-21,352.5905,199.95016,505.23087
2025-10-22,352.7502,200.10986,505.39056
2025-10-23,352.9039,200.26355,505.54425
2025-10-24,353.05176,200.4114,505.6921
2025-10-27,353.19403,200.55368,505.83438
2025-10-28,353.331,200.69064,505.97134
2025-10-29,353.46262,200.82227,506.10297
2025-10-30,353.58954,200.94919,506.2299
2025-10-31,353.7115,201.07114,506.35184
2025-11-03,353.8288,201.18845,506.46915
2025-11-04,353.94165,201.3013,506.582
2025-11-05,354.0502,201.40985,506.69055
2025-11-06,354.15463,201.51428,506.79498
2025-11-07,354.2551,201.61475,506.89545
2025-11-10,354.35165,201.7113,506.992
2025-11-11,354.44458,201.80423,507.08493
2025-11-12,354.53397,201.89362,507.17432
2025-11-13,354.61993,201.97958,507.26028
2025-11-14,354.70258,202.06223,507.34293
2025-11-17,354.782,202.14166,507.42236
2025-11-18,354.85837,202.21802,507.49872
2025-11-19,354.93195,202.2916,507.5723
2025-11-20,355.00262,202.36227,507.64297
2025-11-21,355.07056,202.4302,507.7109
2025-11-24,355.13593,202.49557,507.77628
2025-11-25,355.19876,202.55841,507.8391
2025-11-26,355.25916,202.6188,507.8995
2025-11-27,355.31717,202.67682,507.95752
2025-11-28,355.373,202.73264,508.01334
2025-12-01,355.4266,202.78625,508.06696
2025-12-02,355.47827,202.83792,508.11862
2025-12-03,355.52783,202.88748,508.16818
2025-12-04,355.57544,202.93509,508.2158
2025-12-05,355.62134,202.98099,508.2617
2025-12-08,355.6654,203.02505,508.30576
2025-12-09,355.70764,203.06729,508.348
2025-12-10,355.74838,203.10803,508.38873
2025-12-11,355.78754,203.14719,508.4279
2025-12-12,355.82507,203.18472,508.46542
2025-12-15,355.86124,203.22089,508.5016
2025-12-16,355.896,203.25565,508.53635
2025-12-17,355.92944,203.2891,508.5698
2025-12-18,355.96143,203.32108,508.60178
2025-12-19,355.99234,203.35199,508.6327
2025-12-22,356.02188,203.38153,508.66223
2025-12-23,356.05038,203.41003,508.69073
2025-12-24,356.07773,203.43738,508.71808
2025-12-25,356.1041,203.46375,508.74445
2025-12-26,356.12927,203.48892,508.76962
2025-12-29,356.15356,203.51321,508.7939
2025-12-30,356.17697,203.53662,508.81732
2025-12-31,356.19937,203.55902,508.83972
2026-01-01,356.22086,203.5805,508.8612
2026-01-02,356.24164,203.60129,508.882
2026-01-05,356.2615,203.62115,508.90186
2026-01-06,356.28064,203.64029,508.921
2026-01-07,356.299,203.65866,508.93936
2026-01-08,356.31668,203.67633,508.95703
2026-01-09,356.3337,203.69336,508.97406
2026-01-12,356.35004,203.70969,508.9904
2026-01-13,356.36572,203.72537,509.00607
2026-01-14,356.38077,203.74042,509.02112
2026-01-15,356.39526,203.75491,509.0356
2026-01-16,356.40918,203.76883,509.04953
2026-01-19,356.42252,203.78217,509.06287
2026-01-20,356.43546,203.7951,509.0758
2026-01-21,356.44772,203.80737,509.08807
2026-01-22,356.4597,203.81934,509.10004
2026-01-23,356.47098,203.83063,509.11133
